aardvark, UKPRON, ˈɑːd.vɑːk
aardwolf, NA, 
aaron, NA, 
aback, UKPRON, əˈbæk
abacus, UKPRON, ˈæb.ə.kəs
abaft, UKPRON, əˈbɑːft
abalone, UKPRON, æb.əˈləʊ.ni
abandon, UKPRON, əˈbæn.dən
abandoned, UKPRON, əˈbæn.dənd
abandonment, UKPRON, əˈbæn.dən.mənt
abandons, UKPRON, əˈbæn.dən
abase, UKPRON, əˈbeɪs
abased, REF, abase
abase, UKPRON, əˈbeɪs
abasement, UKPRON, əˈbeɪs.mənt
abash, UKPRON, əˈbæʃ
abashed, UKPRON, əˈbæʃt
abate, UKPRON, əˈbeɪt
abated, REF, abate
abate, UKPRON, əˈbeɪt
abatement, UKPRON, əˈbeɪt.mənt
abates, UKPRON, əˈbeɪt
abattoir, UKPRON, ˈæb.ə.twɑːr
abattoirs, UKPRON, ˈæb.ə.twɑːr
abbe, NA, 
abbess, UKPRON, ˈæb.es
abbey, UKPRON, ˈæb.i
abbeys, UKPRON, ˈæb.i
abbot, UKPRON, ˈæb.ət
abbots, UKPRON, ˈæb.ət
abbreviate, UKPRON, əˈbriː.vi.eɪt
abbreviated, UKPRON, əˈbriː.vi.eɪ.tɪd
abbreviates, UKPRON, əˈbriː.vi.eɪt
abbreviating, REF, abbreviate
abbreviate, UKPRON, əˈbriː.vi.eɪt
abbreviation, UKPRON, əˌbriː.viˈeɪ.ʃən
abbreviations, UKPRON, əˌbriː.viˈeɪ.ʃən
abdicate, UKPRON, ˈæb.dɪ.keɪt
abdicated, REF, abdicate
abdicate, UKPRON, ˈæb.dɪ.keɪt
abdicates, UKPRON, ˈæb.dɪ.keɪt
abdicating, REF, abdicate
abdicate, UKPRON, ˈæb.dɪ.keɪt
abdication, UKPRON, ˌæb.dɪˈkeɪ.ʃən
abdomen, UKPRON, ˈæb.də.mən
abdomens, UKPRON, ˈæb.də.mən
abdominal, UKPRON, æbˈdɒm.ɪ.nəl
abduct, UKPRON, æbˈdʌkt
abducted, REF, abduct
abduct, UKPRON, æbˈdʌkt
abducting, REF, abduct
abduct, UKPRON, æbˈdʌkt
abduction, UKPRON, æbˈdʌk.ʃən
abductions, UKPRON, æbˈdʌk.ʃən
abductor, UKPRON, æbˈdʌk.tər
abductors, UKPRON, æbˈdʌk.tər
abducts, UKPRON, æbˈdʌkt
abe, NA, 
abeam, NA, 
abel, NA, 
abele, NA, 
aberdeen, UKPRON, æb.əˈdiːn
aberrant, UKPRON, əˈber.ənt
aberration, UKPRON, ˌæb.əˈreɪ.ʃən
aberrations, UKPRON, ˌæb.əˈreɪ.ʃən
abet, UKPRON, əˈbet
abets, UKPRON, əˈbet
abetted, UKPRON, əˈbet
abetting, UKPRON, əˈbet
abeyance, UKPRON, əˈbeɪ.əns
abhor, UKPRON, əˈbɔːr
abhorred, REF, abhor
abhor, UKPRON, əˈbɔːr
abhorrence, UKPRON, əˈbɒr.əns
abhorrent, UKPRON, əˈbɒr.ənt
abhors, UKPRON, əˈbɔːr
abide, UKPRON, əˈbaɪd
abided, REF, abide
abide, UKPRON, əˈbaɪd
abides, UKPRON, əˈbaɪd
abiding, UKPRON, əˈbaɪ.dɪŋ
abidjan, NA, 
abies, NA, 
abilities, UKPRON, əˈbɪl.ə.ti
abilities, UKPRON,  -ə.bɪl.ə.ti
ability, UKPRON, əˈbɪl.ə.ti
ability, UKPRON,  -ə.bɪl.ə.ti
abject, UKPRON, ˈæb.dʒekt
abjectly, UKPRON, ˈæb.dʒekt.li
abjure, UKPRON, əbˈdʒʊər
abjured, REF, abjure
