aardvark, UKPRON, ˈɑːd.vɑːk
aardwolf, NA, Not in dictionary
aaron, NA, Not in dictionary
aback, UKPRON, əˈbæk
abacus, UKPRON, ˈæb.ə.kəs
abaft, UKPRON, əˈbɑːft
abalone, UKPRON, æb.əˈləʊ.ni
abandon, UKPRON, əˈbæn.dən
abandoned, UKPRON, əˈbæn.dənd
abandonment, UKPRON, əˈbæn.dən.mənt
abandons, REF, abandon
abandon, UKPRON, əˈbæn.dən
abase, UKPRON, əˈbeɪs
abased, REF, abase
abase, UKPRON, əˈbeɪs
abasement, UKPRON, əˈbeɪs.mənt
abash, UKPRON, əˈbæʃ
abashed, UKPRON, əˈbæʃt
abate, UKPRON, əˈbeɪt
abated, REF, abate
abate, UKPRON, əˈbeɪt
abatement, UKPRON, əˈbeɪt.mənt
abates, REF, abate
abate, UKPRON, əˈbeɪt
abattoir, UKPRON, ˈæb.ə.twɑːr
abattoirs, REF, abattoir
abattoir, UKPRON, ˈæb.ə.twɑːr
abbe, NA, Not in dictionary
abbess, UKPRON, ˈæb.es
abbey, UKPRON, ˈæb.i
abbeys, REF, abbey
abbey, UKPRON, ˈæb.i
abbot, UKPRON, ˈæb.ət
abbots, REF, abbot
abbot, UKPRON, ˈæb.ət
abbreviate, UKPRON, əˈbriː.vi.eɪt
abbreviated, UKPRON, əˈbriː.vi.eɪ.tɪd
abbreviates, REF, abbreviate
abbreviate, UKPRON, əˈbriː.vi.eɪt
abbreviating, REF, abbreviate
abbreviate, UKPRON, əˈbriː.vi.eɪt
abbreviation, UKPRON, əˌbriː.viˈeɪ.ʃən
abbreviations, REF, abbreviation
abbreviation, UKPRON, əˌbriː.viˈeɪ.ʃən
abdicate, UKPRON, ˈæb.dɪ.keɪt
abdicated, REF, abdicate
abdicate, UKPRON, ˈæb.dɪ.keɪt
abdicates, REF, abdicate
abdicate, UKPRON, ˈæb.dɪ.keɪt
abdicating, REF, abdicate
abdicate, UKPRON, ˈæb.dɪ.keɪt
abdication, UKPRON, ˌæb.dɪˈkeɪ.ʃən
abdomen, UKPRON, ˈæb.də.mən
abdomens, REF, abdomen
abdomen, UKPRON, ˈæb.də.mən
abdominal, UKPRON, æbˈdɒm.ɪ.nəl
abduct, UKPRON, æbˈdʌkt
abducted, REF, abduct
abduct, UKPRON, æbˈdʌkt
abducting, REF, abduct
abduct, UKPRON, æbˈdʌkt
abduction, UKPRON, æbˈdʌk.ʃən
abductions, REF, abduction
abduction, UKPRON, æbˈdʌk.ʃən
abductor, UKPRON, æbˈdʌk.tər
abductors, REF, abductor
abductor, UKPRON, æbˈdʌk.tər
abducts, REF, abduct
abduct, UKPRON, æbˈdʌkt
abe, NA, Not in dictionary
abeam, NA, Not in dictionary
abel, NA, Not in dictionary
abele, NA, Not in dictionary
aberdeen, UKPRON, æb.əˈdiːn
aberrant, UKPRON, əˈber.ənt
aberration, UKPRON, ˌæb.əˈreɪ.ʃən
aberrations, REF, aberration
aberration, UKPRON, ˌæb.əˈreɪ.ʃən
abet, UKPRON, əˈbet
abets, REF, abet
abet, UKPRON, əˈbet
abetted, REF, abet
abet, UKPRON, əˈbet
abetting, REF, abet
abet, UKPRON, əˈbet
abeyance, UKPRON, əˈbeɪ.əns
abhor, UKPRON, əˈbɔːr
abhorred, REF, abhor
abhor, UKPRON, əˈbɔːr
abhorrence, UKPRON, əˈbɒr.əns
abhorrent, UKPRON, əˈbɒr.ənt
abhors, REF, abhor
abhor, UKPRON, əˈbɔːr
abide, UKPRON, əˈbaɪd
abided, REF, abide
abide, UKPRON, əˈbaɪd
abides, REF, abide
abide, UKPRON, əˈbaɪd
abiding, UKPRON, əˈbaɪ.dɪŋ
abidjan, NA, Not in dictionary
abies, NA, Not in dictionary
abilities, REF, ability
ability, UKPRON, əˈbɪl.ə.ti
ability, UKPRON,  -ə.bɪl.ə.ti
ability, UKPRON, əˈbɪl.ə.ti
ability, UKPRON,  -ə.bɪl.ə.ti
abject, UKPRON, ˈæb.dʒekt
abjectly, UKPRON, ˈæb.dʒekt.li
abjure, UKPRON, əbˈdʒʊər
abjured, REF, abjure
abjure, UKPRON, əbˈdʒʊər
ablate, UKPRON, əˈbleɪt
ablates, NA, Not in dictionary
ablating, NA, Not in dictionary
ablation, UKPRON, əˈbleɪ.ʃən
ablative, UKPRON, ˈæb.lə.tɪv
ablaze, UKPRON, əˈbleɪz
able, UKPRON, ˈeɪ.bəl
able, UKPRON,  -ə.bəl
ablebodied, NA, Not in dictionary
abler, REF, able
able, UKPRON, ˈeɪ.bəl
able, UKPRON,  -ə.bəl
ablest, REF, able
able, UKPRON, ˈeɪ.bəl
able, UKPRON,  -ə.bəl
abloom, NA, Not in dictionary
ablution, UKPRON, əˈbluː.ʃən
ablutions, REF, ablution
ablution, UKPRON, əˈbluː.ʃən
ably, UKPRON, ˈeɪ.bli
abnegation, UKPRON, ˌæb.nɪˈɡeɪ.ʃən
abnormal, UKPRON, æbˈnɔː.məl
abnormalities, REF, abnormality
abnormality, UKPRON, ˌæb.nɔːˈmæl.ə.ti
abnormality, UKPRON, ˌæb.nɔːˈmæl.ə.ti
abnormally, UKPRON, æbˈnɔː.məl.i
aboard, UKPRON, əˈbɔːd
abode, UKPRON, əˈbəʊd
abodes, REF, abode
abode, UKPRON, əˈbəʊd
abolish, UKPRON, əˈbɒl.ɪʃ
abolished, REF, abolish
abolish, UKPRON, əˈbɒl.ɪʃ
abolishes, REF, abolish
abolish, UKPRON, əˈbɒl.ɪʃ
abolishing, REF, abolish
abolish, UKPRON, əˈbɒl.ɪʃ
abolition, UKPRON, ˌæb.əˈlɪʃ.ən
abolitionist, UKPRON, ˌæb.əˈlɪʃ.ən.ɪst
abolitionists, REF, abolitionist
abolitionist, UKPRON, ˌæb.əˈlɪʃ.ən.ɪst
abomb, NA, Not in dictionary
abominable, UKPRON, əˈbɒm.ɪ.nə.bəl
abominably, UKPRON, əˈbɒm.ɪ.nə.bli
abominate, UKPRON, əˈbɒm.ɪ.neɪt
abominated, REF, abominate
abominate, UKPRON, əˈbɒm.ɪ.neɪt
abomination, UKPRON, əˌbɒm.ɪˈneɪ.ʃən
abominations, REF, abomination
abomination, UKPRON, əˌbɒm.ɪˈneɪ.ʃən
aboriginal, UKPRON, ˌæb.əˈrɪdʒ.ən.əl
aborigines, REF, aborigine
aborigine, UKPRON, ˌæb.əˈrɪdʒ.ən.i
abort, UKPRON, əˈbɔːt
aborted, REF, abort
abort, UKPRON, əˈbɔːt
aborting, REF, abort
abort, UKPRON, əˈbɔːt
abortion, UKPRON, əˈbɔː.ʃən
abortionist, UKPRON, əˈbɔː.ʃən.ɪst
abortionists, REF, abortionist
abortionist, UKPRON, əˈbɔː.ʃən.ɪst
abortions, REF, abortion
abortion, UKPRON, əˈbɔː.ʃən
abortive, UKPRON, əˈbɔː.tɪv
aborts, REF, abort
abort, UKPRON, əˈbɔːt
abound, UKPRON, əˈbaʊnd
abounded, REF, abound
abound, UKPRON, əˈbaʊnd
abounding, REF, abound
abound, UKPRON, əˈbaʊnd
abounds, REF, abound
abound, UKPRON, əˈbaʊnd
about, UKPRON, əˈbaʊt
above, UKPRON, əˈbʌv
abraded, REF, abrade
abrade, UKPRON, əˈbreɪd
abraham, NA, Not in dictionary
abrasion, UKPRON, əˈbreɪ.ʒən
abrasions, NA, Not in dictionary
abrasive, UKPRON, əˈbreɪ.sɪv
abrasively, UKPRON, əˈbreɪ.sɪv.li
abrasiveness, UKPRON, əˈbreɪ.sɪv.nəs
abrasives, REF, abrasive
abrasive, UKPRON, əˈbreɪ.sɪv
abreast, UKPRON, əˈbrest
abridge, UKPRON, əˈbrɪdʒ
abridged, UKPRON, əˈbrɪdʒd
abridgement, REF, abridgment
abridgment, UKPRON, əˈbrɪdʒ.mənt
abridging, REF, abridge
abridge, UKPRON, əˈbrɪdʒ
abroad, UKPRON, əˈbrɔːd
abrogate, UKPRON, ˈæb.rə.ɡeɪt
abrogated, REF, abrogate
abrogate, UKPRON, ˈæb.rə.ɡeɪt
abrogating, REF, abrogate
abrogate, UKPRON, ˈæb.rə.ɡeɪt
abrogation, UKPRON, ˌæb.rəˈɡeɪ.ʃən
abrogations, NA, Not in dictionary
abrupt, UKPRON, əˈbrʌpt
abruptly, UKPRON, əˈbrʌpt.li
abruptness, UKPRON, əˈbrʌpt.nəs
abscess, UKPRON, ˈæb.ses
abscesses, REF, abscess
abscess, UKPRON, ˈæb.ses
abscissa, UKPRON, æbˈsɪs.ə
abscissae, NA, Not in dictionary
abscissas, REF, abscissa
abscissa, UKPRON, æbˈsɪs.ə
abscond, UKPRON, æbˈskɒnd
absconded, REF, abscond
abscond, UKPRON, æbˈskɒnd
absconder, UKPRON, æbˈskɒn.dər
absconding, REF, abscond
abscond, UKPRON, æbˈskɒnd
absconds, REF, abscond
abscond, UKPRON, æbˈskɒnd
abseil, UKPRON, ˈæb.seɪl
abseiled, REF, abseil
abseil, UKPRON, ˈæb.seɪl
abseiler, NA, Not in dictionary
abseiling, UKPRON, ˈæb.seɪ.lɪŋ
abseils, REF, abseil
abseil, UKPRON, ˈæb.seɪl
absence, UKPRON, ˈæb.səns
absences, REF, absence
absence, UKPRON, ˈæb.səns
absent, UKPRON, ˈæb.sənt
absented, REF, absent
absent, UKPRON, ˈæb.sənt
absentee, UKPRON, ˌæb.sənˈtiː
absenteeism, UKPRON, ˌæb.sənˈtiː.ɪ.zəm
absentees, REF, absentee
absentee, UKPRON, ˌæb.sənˈtiː
absenting, REF, absent
absent, UKPRON, ˈæb.sənt
absently, UKPRON, ˈæb.sənt.li
absentminded, NA, Not in dictionary
absentmindedly, NA, Not in dictionary
absentmindedness, NA, Not in dictionary
absolute, UKPRON, ˈæb.sə.luːt
absolutely, UKPRON, ˌæb.səˈluːt.li
absoluteness, NA, Not in dictionary
absolutes, NA, Not in dictionary
absolution, UKPRON, ˌæb.səˈluː.ʃən
absolutism, UKPRON, ˈæb.sə.luː.tɪ.zəm
absolutist, NA, Not in dictionary
absolutists, NA, Not in dictionary
absolve, UKPRON, əbˈzɒlv
absolved, REF, absolve
